resourceType,id,active,gender,birthDate
Practitioner,1,True,female,1986-06-02
Practitioner,2,True,male,1995-07-16
Practitioner,3,True,male,1963-10-01
Practitioner,4,True,female,1979-03-01
Practitioner,5,True,female,1992-04-22
Practitioner,6,True,male,1969-07-15
Practitioner,7,True,female,1984-02-26
Practitioner,8,True,female,1960-04-28
Practitioner,9,True,female,1991-10-29
Practitioner,10,True,female,1991-02-06
Practitioner,11,True,female,1986-05-19
Practitioner,12,True,female,1972-12-11
Practitioner,13,True,female,1963-01-03
Practitioner,14,True,male,1978-11-12
Practitioner,15,True,female,1982-03-24
Practitioner,16,True,male,1962-03-30
Practitioner,17,True,female,1981-03-16
Practitioner,18,True,male,1995-12-10
Practitioner,19,True,male,1976-10-09
Practitioner,20,True,male,1973-07-27
Practitioner,21,True,female,1989-01-24
Practitioner,22,True,male,1989-08-31
Practitioner,23,True,male,1987-03-15
Practitioner,24,True,male,1963-09-06
Practitioner,25,True,male,1982-11-09
Practitioner,26,True,female,1967-11-25
Practitioner,27,True,female,1996-09-17
Practitioner,28,True,female,1968-04-05
Practitioner,29,True,male,1969-04-13
Practitioner,30,True,male,1969-03-11
Practitioner,31,True,male,1973-02-01
Practitioner,32,True,male,1969-12-16
Practitioner,33,True,male,1964-11-20
Practitioner,34,True,female,1962-12-10
Practitioner,35,True,male,1986-10-28
Practitioner,36,True,female,1991-10-13
Practitioner,37,True,female,1973-09-16
Practitioner,38,True,male,1997-12-26
Practitioner,39,True,male,1966-06-11
Practitioner,40,True,female,1996-03-23
Practitioner,41,True,male,1977-08-26
Practitioner,42,True,male,1960-04-03
Practitioner,43,True,male,1979-10-04
Practitioner,44,True,male,1971-09-22
Practitioner,45,True,female,1958-08-01
Practitioner,46,True,female,1992-06-25
Practitioner,47,True,female,1975-05-10
Practitioner,48,True,male,1985-08-29
Practitioner,49,True,male,1961-04-16
Practitioner,50,True,female,1966-03-28
Practitioner,51,True,female,1976-11-12
Practitioner,52,True,male,1981-08-21
Practitioner,53,True,male,1961-04-16
Practitioner,54,True,male,1963-04-03
Practitioner,55,True,female,1994-05-08
Practitioner,56,True,female,1985-11-26
Practitioner,57,True,female,1993-07-22
Practitioner,58,True,female,1997-09-11
Practitioner,59,True,male,1981-01-21
Practitioner,60,True,female,1960-08-21
Practitioner,61,True,male,1975-12-09
Practitioner,62,True,female,1995-05-14
Practitioner,63,True,male,1962-04-24
Practitioner,64,True,male,1966-11-21
Practitioner,65,True,female,1996-07-18
Practitioner,66,True,female,1982-04-07
Practitioner,67,True,female,1965-11-04
Practitioner,68,True,male,1961-03-21
Practitioner,69,True,female,1983-02-24
Practitioner,70,True,male,1987-11-01
Practitioner,71,True,male,1985-02-17
Practitioner,72,True,male,1973-02-10
Practitioner,73,True,female,1960-07-06
Practitioner,74,True,male,1962-09-01
Practitioner,75,True,male,1992-07-01
Practitioner,76,True,male,1976-01-01
Practitioner,77,True,male,1992-06-05
Practitioner,78,True,female,1961-02-22
Practitioner,79,True,female,1977-05-16
Practitioner,80,True,female,1972-01-19
Practitioner,81,True,female,1963-07-29
Practitioner,82,True,male,1969-03-31
Practitioner,83,True,female,1964-05-07
Practitioner,84,True,male,1970-04-06
Practitioner,85,True,male,1970-11-10
Practitioner,86,True,male,1978-04-03
Practitioner,87,True,male,1994-04-27
Practitioner,88,True,female,1972-06-14
Practitioner,89,True,female,1966-02-20
Practitioner,90,True,female,1988-11-14
Practitioner,91,True,female,1980-03-17
Practitioner,92,True,male,1978-08-11
Practitioner,93,True,male,1995-03-15
Practitioner,94,True,male,1969-02-15
Practitioner,95,True,male,1972-07-19
Practitioner,96,True,male,1988-09-23
Practitioner,97,True,male,1958-09-03
Practitioner,98,True,female,1957-12-06
Practitioner,99,True,female,1986-06-08
Practitioner,100,True,male,1969-11-16
